"zona","periodo","n","LAI_medio","LAI_norm_medio","LAI_max","IPP_A","IPP_B","IPP_C","IPP_D","prop_neg_A","IPP_consenso","concordancia_n","diagnostico","concordancia"
"hayedo_cercano","2018",16,2.695,0.719,3.75,0.0507,0.0276,0.1019,-0.0022,0.29,0.0445,"3/4","Larre-oreka","Txikia"
"hayedo_intermedio","2018",16,3.178,0.717,4.435,0.0631,0.0399,0.0844,-0.0127,0.14,0.0437,"3/4","Larre-oreka","Txikia"
"hayedo_remoto","2018",16,2.968,0.689,4.311,0.0051,-0.0191,0.0561,-0.0303,0.5,0.0029,"2/4","Larre-oreka","Txikia"
"pasto_cercano","2018",16,1.923,0.633,3.038,-0.0878,-0.114,-0.0592,0.0329,0.79,-0.057,"3/4","Gainlarratze arina","Txikia"
"pasto_intermedio","2018",15,1.803,0.608,2.963,-0.0888,-0.0969,-0.0768,0.0358,0.77,-0.0567,"3/4","Gainlarratze arina","Txikia"
"pasto_remoto","2018",15,1.725,0.604,2.859,-0.089,-0.0971,-0.0921,0.0217,0.77,-0.0641,"3/4","Gainlarratze arina","Txikia"
"hayedo_cercano","2019",11,3.254,0.713,4.565,0.0216,0.1108,0.0065,0.0048,0.11,0.0359,"4/4","Larre-oreka","Handia"
"hayedo_intermedio","2019",14,3.639,0.753,4.832,0.0388,0.1217,0.0456,0.0036,0.25,0.0524,"4/4","Azpierabilera arina","Handia"
"hayedo_remoto","2019",13,3.634,0.746,4.868,0.0328,0.1204,0.0652,0.022,0.18,0.0601,"4/4","Azpierabilera arina","Handia"
"pasto_cercano","2019",12,1.802,0.729,2.472,-0.0577,0.0235,-0.0082,0.0517,0.6,0.0023,"2/4","Larre-oreka","Txikia"
"pasto_intermedio","2019",11,1.917,0.71,2.698,-0.0818,0.0031,-0.0427,0.0186,0.78,-0.0257,"2/4","Larre-oreka","Txikia"
"pasto_remoto","2019",12,1.748,0.683,2.559,-0.1135,-0.0276,-0.0755,0.0105,0.7,-0.0515,"3/4","Gainlarratze arina","Txikia"
"hayedo_cercano","2020",14,2.771,0.731,3.793,0.0622,0.1894,0.1865,0.0149,0.17,0.1133,"4/4","Azpierabilera ertaina","Handia"
"hayedo_intermedio","2020",13,3.002,0.729,4.117,0.0996,0.241,0.2462,0.0032,0,0.1475,"4/4","Azpierabilera ertaina","Handia"
"hayedo_remoto","2020",14,2.989,0.71,4.208,0.0384,0.1692,0.1582,-0.0072,0.17,0.0896,"3/4","Azpierabilera arina","Txikia"
"pasto_cercano","2020",12,1.543,0.478,3.226,-0.4312,-0.2341,-0.2409,-0.0692,1,-0.2439,"4/4","Gainlarratze larria","Handia"
