"date","year","doy","LAI_norm_obs","LAI_norm_pred","residuo_medio"
2018-06-03,2018,153,0.944686423158373,0.957365132719594,-0.0126787095612204
2018-06-23,2018,173,0.947706725614248,0.913870339257198,0.0338363863570498
2018-07-08,2018,188,0.959430564870676,0.890466594136994,0.0689639707336818
2018-07-13,2018,193,0.870578151043538,0.878647380930542,-0.00806922988700398
2018-07-23,2018,203,0.83531995716414,0.855542828363881,-0.0202228711997412
2018-08-02,2018,213,0.787698206919189,0.797218416931566,-0.00952021001237691
2018-08-12,2018,223,0.723969783305432,0.77781158327655,-0.0538417999711187
2018-08-22,2018,233,0.670650138195832,0.734878660109171,-0.0642285219133386
2018-08-27,2018,238,0.643353220505868,0.725354284430949,-0.0820010639250807
2018-09-01,2018,243,0.634096462810565,0.678878168413734,-0.0447817056031693
2018-09-11,2018,253,0.596342321326014,0.596803789037393,-0.000461467711378227
2018-09-26,2018,268,0.505891817813475,0.538064190760965,-0.0321723729474898
2018-10-16,2018,288,0.441608625892765,0.403554991528405,0.0380536343643592
2018-10-21,2018,293,0.402767990567118,0.384345317586432,0.0184226729806862
2019-06-03,2019,153,0.904065734004168,0.969514050920071,-0.0654483169159021
2019-06-08,2019,158,0.970378353499697,0.981204019634338,-0.0108256661346412
2019-06-13,2019,163,0.979600660902336,0.976713453244508,0.00288720765782779
2019-06-18,2019,168,0.967021362639836,0.93321355787282,0.0338078047670157
2019-06-28,2019,178,0.928921321741604,0.912571385518036,0.0163499362235672
2019-08-07,2019,218,0.613404169621756,0.726510022831158,-0.113105853209401
2019-08-17,2019,228,0.639712941847937,0.702262020441436,-0.0625490785934987
2019-08-22,2019,233,0.688330636372993,0.662019750876137,0.0263108854968561
2019-09-16,2019,258,0.539531785054446,0.609189193463445,-0.0696574084089983
2019-09-26,2019,268,0.583861059987433,0.542518375173872,0.0413426848135615
2019-10-11,2019,283,0.486865479491273,0.45225566496418,0.0346098145270938
2019-10-26,2019,298,0.485402813224854,0.52042973092944,-0.0350269177045861
2020-06-22,2020,173,0.891358356396283,0.894771367243765,-0.00341301084748191
2020-06-27,2020,178,0.87657471547871,0.868044892839187,0.00852982263952229
2020-07-22,2020,203,0.68320500502966,0.811692620296991,-0.128487615267331
2020-07-27,2020,208,0.629892426096938,0.768668294772755,-0.138775868675817
2020-08-06,2020,218,0.55628713058507,0.656828333706211,-0.100541203121141
2020-08-16,2020,228,0.519876634830006,0.59906969586329,-0.0791930610332844
2020-08-26,2020,238,0.649459260436873,0.541354526592052,0.108104733844821
2020-08-31,2020,243,0.477982948831126,0.562845527590145,-0.0848625787590189
2020-09-10,2020,253,0.444482192890119,0.476027828532367,-0.0315456356422487
2020-09-15,2020,258,0.418061470630321,0.414884691704319,0.00317677892600171
2020-09-20,2020,263,0.355110954823554,0.479275640019334,-0.124164685195781
2020-09-30,2020,273,0.413593512840768,0.476269942785309,-0.0626764299445413
2020-10-30,2020,303,0.351384523419176,0.623763857182844,-0.272379333763668
2021-06-02,2021,152,0.943539109768134,0.985566120531022,-0.0420270107628885
2021-06-07,2021,157,0.990765624231746,0.989807627532307,0.000957996699439634
2021-06-12,2021,162,0.986152807907416,0.949173195631979,0.0369796122754367
2021-07-02,2021,182,0.948745858002521,0.903303880699844,0.0454419773026766
2021-07-17,2021,197,0.821049504747098,0.872015289239794,-0.0509657844926963
2021-07-22,2021,202,0.793368196535203,0.884103947647488,-0.0907357511122854
2021-08-11,2021,222,0.681359372077563,0.793299782522782,-0.111940410445219
2021-08-26,2021,237,0.638579448195584,0.684093152731547,-0.0455137045359639
2021-08-31,2021,242,0.59464898880199,0.649579418748868,-0.0549304299468776
2021-09-05,2021,247,0.607041452505379,0.577187197507346,0.0298542549980324
2021-09-25,2021,267,0.658320146571551,0.567361799034124,0.0909583475374267
2021-09-30,2021,272,0.463214743152469,0.536822949589642,-0.0736082064371739
2022-06-12,2022,162,1,0.946768107316343,0.0532318926836567
2022-07-02,2022,182,0.76955353173361,0.799159395905084,-0.0296058641714747
2022-07-12,2022,192,0.764252188399817,0.780199214358613,-0.0159470259587966
2022-07-17,2022,197,0.700868656636889,0.807755080878959,-0.10688642424207
2022-08-06,2022,217,0.559185039323822,0.623779996341213,-0.0645949570173912
2022-08-16,2022,227,0.561437422991412,0.566079395241292,-0.00464197224987983
2022-09-05,2022,247,0.521223775182173,0.49595916045396,0.0252646147282138
2022-09-10,2022,252,0.497363699170489,0.502030005140221,-0.00466630596973261
2022-09-20,2022,262,0.487009904243829,0.467454138958944,0.0195557652848843
2022-10-05,2022,277,0.459050405756842,0.421349736268007,0.0377006694888347
2022-10-15,2022,287,0.419251161076637,0.438095157455624,-0.018843996378987
2023-07-22,2023,202,0.890014108936317,0.855356049142196,0.0346580597941212
2023-07-27,2023,207,1,0.843647691138779,0.156352308861221
2023-08-11,2023,222,0.959936394335474,0.754899820414898,0.205036573920575
2023-08-21,2023,232,0.843059936846259,0.617005272934268,0.226054663911991
2023-09-20,2023,262,0.791817670303351,0.6214697781312,0.170347892172151
2023-09-25,2023,267,0.749839702507301,0.626008300649217,0.123831401858085
2023-09-30,2023,272,0.737606844288815,0.587495019677366,0.150111824611449
2023-10-05,2023,277,0.715607269180757,0.560916698160789,0.154690571019968
2023-10-10,2023,282,0.672062428258486,0.571609492883524,0.100452935374962
2023-10-30,2023,302,0.769436589722863,0.662368886652873,0.107067703069991
2024-07-31,2024,212,1,0.796142419217658,0.203857580782342
2024-08-05,2024,217,0.884565175775914,0.764818558208426,0.119746617567488
2024-08-10,2024,222,0.852825496628132,0.698882042770377,0.153943453857755
2024-08-20,2024,232,0.800739857708515,0.675568853900487,0.125171003808028
2024-09-14,2024,257,0.770739337386938,0.638458734397919,0.132280602989019
2024-09-24,2024,267,0.707067934167447,0.672150447025491,0.0349174871419559
2024-09-29,2024,272,0.647584033175011,0.684386063549758,-0.0368020303747465
2024-10-24,2024,297,0.624538250753717,0.725773971247914,-0.101235720494196
2025-06-18,2025,168,0.980902328355088,0.910923794968638,0.0699785333864499
2025-06-21,2025,171,0.979724174817861,0.906786983249364,0.0729371915684975
2025-06-28,2025,178,0.924446718829647,0.912493964566631,0.0119527542630156
2025-07-01,2025,181,0.865020528316328,0.926385019234059,-0.0613644909177308
2025-07-16,2025,196,0.745242232220661,0.779987375605508,-0.0347451433848469
2025-08-07,2025,218,0.635220363106302,0.696140874806629,-0.0609205117003268
2025-08-10,2025,221,0.630215853801949,0.658149564567229,-0.0279337107652802
2025-08-15,2025,226,0.554275597855717,0.575417691132743,-0.0211420932770262
2025-08-25,2025,236,0.489513985024995,0.57368285134081,-0.084168866315815
2025-09-06,2025,248,0.476208424360601,0.529264330711328,-0.0530559063507268
2025-09-14,2025,256,0.465527196427081,0.489240563335788,-0.0237133669087071
2025-09-26,2025,268,0.483935003633084,0.513127696968392,-0.0291926933353084
2025-10-06,2025,278,0.434730529099655,0.479148167500235,-0.0444176384005803
2025-10-14,2025,286,0.365957159307063,0.489457151700759,-0.123499992393696
