"modelo","termino","tipo_termino","edf","estimacion","F_chi","p_valor","significancia"
"G6m","(Intercept)","parametrico",NA,0.69503,74.47,1.821e-79,"***"
"G6m","s(GDA)","smooth",1,NA,5.411,0.02239,"*"
"G6m","s(P60)","smooth",2.35,NA,6.65,0.0007607,"***"
"G6m","s(SM_root)","smooth",3.25,NA,1.902,0.07514,"."
"G6m","te(GDA,P60)","smooth",1,NA,7.315,0.008255,"**"
"G6","(Intercept)","parametrico",NA,0.69503,72.271,9.879e-79,"***"
"G6","s(GDA)","smooth",1,NA,153.478,0,"***"
"G6","s(P60)","smooth",2.54,NA,8.262,6.782e-05,"***"
"G6","s(SM_root)","smooth",3.53,NA,3.03,0.01631,"*"
"L4","(Intercept)","parametrico",NA,0.74256,6.091,2.716e-08,"***"
"L4","P60","parametrico",NA,0.00088,5.25,1.007e-06,"***"
"L4","GDA","parametrico",NA,-0.00021,-6.63,2.422e-09,"***"
"L4","Rad7","parametrico",NA,0.00525,1.488,0.1403,"ns"
"G3","(Intercept)","parametrico",NA,0.69503,67.963,3.862e-79,"***"
"G3","s(GDA)","smooth",1,NA,43.954,0,"***"
"G3","s(P60)","smooth",1,NA,27.564,1.175e-06,"***"
"G3","s(Rad7)","smooth",1,NA,2.214,0.1403,"ns"
"L1","(Intercept)","parametrico",NA,0.91136,20.294,1.531e-35,"***"
"L1","P60","parametrico",NA,0.00078,5.059,2.179e-06,"***"
"L1","GDA","parametrico",NA,-0.00025,-12.815,4.331e-22,"***"
"G1","(Intercept)","parametrico",NA,0.69503,67.559,1.753e-79,"***"
"G1","s(GDA)","smooth",1,NA,163.815,0,"***"
"G1","s(P60)","smooth",1.11,NA,20.502,6.105e-06,"***"
"L2","(Intercept)","parametrico",NA,0.89366,10.58,1.795e-17,"***"
"L2","P60","parametrico",NA,0.00079,4.741,7.915e-06,"***"
"L2","GDA","parametrico",NA,-0.00023,-2.11,0.03761,"*"
"L2","GDA2","parametrico",NA,0,-0.248,0.8048,"ns"
